N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8605093120486507,0.8323125162337459,0.8237487863339554,0.22171945701357465,0.758671858025413,0.3295108725266119
Model2,500,2,1,0.8440390219181553,0.8171033508299704,0.8284683681547629,0.35444947209653094,0.6341832292058537,0.4467538393782643
Model3,500,3,1,0.8611427847459775,0.8336988644256222,0.8449897251528122,0.4072398190045249,0.6390944977573941,0.48888547890525624
Model4,500,1,2,0.8899024452046117,0.877414726841081,0.8724919483170765,0.42232277526395173,0.8743423129695311,0.5566275617674036
Model5,500,2,2,0.8840744963892057,0.8994986943860634,0.8895173971503123,0.6975867269984917,0.8523475043527026,0.7612468594139079
Model6,500,3,2,0.9030786773090079,0.9006189907951164,0.8875538621347736,0.4502262443438914,0.925510315507157,0.5998539363203246
Model7,800,1,2,0.8948435322437603,0.8891860294546939,0.8817261969908553,0.5052790346907994,0.8745486265035832,0.6097239522658363
Model8,800,2,2,0.9158748257950082,0.9123810060920357,0.9107285070970077,0.6817496229260935,0.9093043763878427,0.7586350422378183
Model9,800,3,2,0.9147345749398201,0.9088079070179361,0.9052109873468162,0.5384615384615384,0.8813416719170849,0.6650323059387232
