N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.868617762574433,0.8451838332948381,0.8525176568369676,0.35294117647058826,0.6637676959260286,0.45424450297006386
Model2,500,2,1,0.8769796021791461,0.8564785136042554,0.8638064957669268,0.41478129713423834,0.6864043303602887,0.5112243776552451
Model3,500,3,1,0.8764728240212847,0.8708860918573464,0.8719024455218808,0.4841628959276018,0.6770912424093248,0.5565087486969698
Model4,500,1,2,0.8999113138223742,0.8972033136256017,0.8961823091612571,0.5542986425339367,0.7740166352189491,0.6409644708265568
Model5,500,2,2,0.9154947421766122,0.9176673892310343,0.9135892849315828,0.698340874811463,0.8014329546604175,0.7226433832400138
Model6,500,3,2,0.9185354111237806,0.9214395557312747,0.9196253871006427,0.6968325791855203,0.8043357994638544,0.7438171699333279
Model7,800,1,2,0.9108070442163942,0.90263111076026,0.9058635814564818,0.6289592760180995,0.7776835149613183,0.6868713839974595
Model8,800,2,2,0.9267705561890283,0.9203676611096877,0.9213939765631107,0.6659125188536953,0.8592191424788839,0.7329898907675451
Model9,800,3,2,0.9209426073736222,0.9209235092515392,0.9182247068238949,0.6968325791855203,0.8316592390839512,0.7373970928670853
